               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.012293,           0.0032901,           0.0011583,             0.99037,             0.97164,             0.98578,             0.82139,             0.01459,           0.0046906,           0.0011362,            0.000826,            0.000826,            0.000826
                 141,            0.012421,           0.0031422,           0.0012892,             0.99063,             0.97441,              0.9854,             0.82464,            0.014332,           0.0047558,           0.0011352,             0.00076,             0.00076,             0.00076
                 142,            0.012066,           0.0032967,           0.0013089,             0.98605,             0.97456,             0.98523,             0.82722,            0.014334,           0.0047614,           0.0011284,            0.000694,            0.000694,            0.000694
                 143,            0.011698,           0.0032682,            0.001196,              0.9856,              0.9748,             0.98525,             0.82163,            0.014377,           0.0047119,           0.0011181,            0.000628,            0.000628,            0.000628
                 144,             0.01152,            0.003291,           0.0012129,             0.98625,             0.96722,             0.98574,             0.82168,            0.014137,           0.0046628,           0.0010954,            0.000562,            0.000562,            0.000562
                 145,             0.01207,           0.0033615,           0.0012443,             0.99487,             0.95927,             0.98565,              0.8253,            0.014039,           0.0046606,           0.0010799,            0.000496,            0.000496,            0.000496
                 146,            0.011344,           0.0031427,           0.0010174,             0.99639,             0.95896,             0.98575,             0.82153,            0.014492,           0.0046914,           0.0010623,             0.00043,             0.00043,             0.00043
                 147,            0.011405,           0.0031948,           0.0013563,             0.99501,             0.96228,             0.98584,             0.82873,            0.014195,           0.0045763,            0.001046,            0.000364,            0.000364,            0.000364
                 148,            0.011197,           0.0030662,           0.0010651,             0.99329,             0.96753,             0.98564,             0.82456,            0.014035,           0.0045323,           0.0010371,            0.000298,            0.000298,            0.000298
                 149,            0.011319,           0.0032018,            0.001188,             0.99248,             0.96736,              0.9857,              0.8255,            0.014175,           0.0045602,           0.0010369,            0.000232,            0.000232,            0.000232
